Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
54,14610308,GrimCybery,"2025-10-27 13:32:39",1.00000,1,tim16067
55,14612275,Deweed,"2025-10-27 20:37:12",1.00000,1,gabrieleugnio
56,14620153,"Mu Qing","2025-10-29 03:03:21",1.00000,1,mqingcs
57,8640003,lingyimeier,"2025-10-30 12:16:32",1.00000,1,lingyimeier
58,14618367,"Gargee Sen","2025-10-30 14:51:41",1.00000,2,gargeesen
59,14633698,"Vivian Pell","2025-10-30 19:55:01",1.00000,3,vivpell
60,14551838,Johnny28,"2025-10-31 01:43:20",1.00000,5,johnny28
61,14636321,"Meka Mahathi","2025-10-31 07:49:19",1.00000,1,mekamahathi
62,14636342,"GUNTUPALLY BHANU SRI","2025-10-31 07:54:00",1.00000,1,guntupallybhanusri
63,14648221,wangzuneng,"2025-11-02 12:51:37",1.00000,1,wangzuneng
64,14650106,"Rachel Brecht","2025-11-02 20:28:19",1.00000,3,rachelbrecht
65,13937121,"BV PROPERTY","2025-11-03 14:46:41",1.00000,1,bvproperty
66,14435451,"Koritala Bhavana","2025-11-03 16:36:51",1.00000,3,koritalabhavana
67,14655740,"Kaelee Garst","2025-11-03 16:58:42",1.00000,3,kaeleegarst
68,14520190,"Rohith Kumar Lingineni","2025-11-03 17:33:26",1.00000,3,rohithkumarlingineni
69,14657761,"Sriram Ganugapti ","2025-11-04 09:59:58",1.00000,2,sriramganugapti
70,14643821,"POLASI SUBASH","2025-11-04 10:04:19",1.00000,2,polasisubash
71,14438525,SahithiDhulipalla,"2025-11-05 07:43:41",1.00000,1,sahithidhulipalla
72,14616737,"Connor Gouin","2025-11-16 03:17:17",1.00000,17,connorgouin
73,14669024,yaswanthkalluri5019k,"2025-11-08 12:15:52",1.00000,3,yaswanthkalluri5019k
74,14669507,"P Akhil Kumar Reddy","2025-11-05 18:05:52",1.00000,1,akhil1426
75,14670624,"Domanick Jonas","2025-11-05 23:33:28",1.00000,3,domanickjonas
76,14672531,AsmithaMunaga,"2025-11-06 07:53:24",1.00000,3,asmithamunaga
77,14674625,"Kendall Hegan","2025-11-06 14:22:34",1.00000,3,kendallhegan
78,14675732,"Mya Schrecengost","2025-11-06 17:50:29",1.00000,3,myaschrecengost
79,11450884,"crispy mangoes","2025-11-07 21:00:15",1.00000,3,crispymangoes
80,14684549,"ch vls varshith","2025-11-08 03:52:40",1.00000,2,chvlsvarshith
81,14684593,"Ganesh Manam","2025-11-08 03:48:55",1.00000,1,ganeshmanam
82,14684731,kurisan123,"2025-11-08 04:21:03",1.00000,2,kurisan123
83,14685126,"Hanqing Zhang777","2025-11-08 05:38:42",1.00000,3,hanqingzhang777
84,14685195,"Raahil girish","2025-11-08 06:51:27",1.00000,8,raahilgirish
85,14689594,"Andrea Scholz","2025-11-09 02:28:27",1.00000,3,andreascholz
86,14599817,"Илья Севастьянов","2025-11-09 08:04:11",1.00000,5,sev1lya
87,14687581,"ANTOR MOJUMDAR","2025-11-11 15:32:16",1.00000,15,antormojumdar
88,14692323,"JUTTUKA NANDA KISHORE","2025-11-09 13:23:54",1.00000,1,juttukanandakishore
89,14692770,HARINIK,"2025-11-09 15:26:06",1.00000,1,hariniadams
90,14693193,"Anandhu K A","2025-11-09 16:48:41",1.00000,6,anandhu510
91,14694551,"Hunter Kay","2025-11-09 22:14:31",1.00000,3,huntkay
92,14696231,yyan244,"2025-11-10 05:51:07",1.00000,4,yyan244
93,14699457,"Kelsey Geiger","2025-11-10 14:05:15",1.00000,3,kelseygeiger
94,14657273,shishamo0328,"2025-11-21 02:24:41",1.00000,71,shishamo0328
95,14704683,"Devansh Malhotra17","2025-11-11 02:56:46",1.00000,9,devanshmalhotra17
96,14651010,"Tatsuki Kishimoto","2025-11-13 02:24:17",1.00000,51,tatsukikishimoto
97,14708872,ANTOR-MOJUMDAR,"2025-11-11 14:52:18",1.00000,2,antormojumdar01
98,14708977,"Sean Graham 530","2025-11-11 15:06:26",1.00000,3,seangraham530
99,14696320,"Alpha Matrix","2025-11-11 16:09:04",1.00000,3,kkrrajak
100,14715993,"Lauren Soltis1","2025-11-12 14:34:16",1.00000,3,laurensoltis1
101,14718365,"Nan Tang","2025-11-12 21:40:51",1.00000,4,tangnan1106
102,14718853,"Emma Seper","2025-11-12 23:20:45",1.00000,3,emmaseper
103,14726347,"Ashley Z 26","2025-11-13 14:57:58",1.00000,3,ashleyz26
104,14663960,"Alyssa Riedl","2025-11-16 21:09:48",1.00000,7,alyssariedl
105,14727688,"Ryan Anderson #3","2025-11-13 18:07:18",1.00000,3,ryananderson428
106,14727746,"James Trunkettlll","2025-11-13 18:16:05",1.00000,3,jamestrunkettlll
107,14678172,Afr1ste,"2025-11-14 03:39:36",1.00000,5,afr1ste
108,14734967,"PODILA UGENDER","2025-11-14 15:44:42",1.00000,1,podilaugender
109,14735520,"Caligha Ellis","2025-11-14 17:17:15",1.00000,3,calighaellis
110,14737875,"Cassie Musitano","2025-11-15 00:36:54",1.00000,3,cassiemusitano
111,14741866,zdsmoot,"2025-11-15 06:17:37",1.00000,3,zdsmoot
112,14748532,"Kevin Roland ","2025-11-15 15:26:52",1.00000,3,kevinroland
113,14750150,"Nicholas Andamasaris","2025-11-15 17:37:48",1.00000,3,nicholasandamasaris
114,14750840,"Ian Daugherty","2025-11-15 18:54:56",1.00000,3,iandaugherty1030
115,14752247,Kalpanagh,"2025-11-16 00:49:03",1.00000,3,kalpanagh
116,14752916,jiasitingwang,"2025-11-16 04:00:53",1.00000,3,jiasitingwang
117,14752907,"Jumbo Young","2025-11-19 03:11:35",1.00000,11,jumboyang
118,14753584,"Kiara Felicie","2025-11-16 05:48:53",1.00000,4,kiarafelicie
119,14753013,zhang_fan0317,"2025-11-16 06:44:15",1.00000,3,zhangfan0317
120,14755560,"Meaghan P158","2025-11-16 08:33:44",1.00000,3,meaghanp158
121,14760684,"Jake Kumfert","2025-11-16 18:52:14",1.00000,3,jakekumfert
122,14760834,"Brianne Campbell","2025-11-16 19:25:12",1.00000,3,briannecampbell9
123,14760952,"Alaya Douangpanya","2025-11-16 19:48:23",1.00000,3,alayadouangpanya
124,14760967,MaddoxGr,"2025-11-16 19:51:46",1.00000,3,maddoxgr
125,14761105,"Alyson Jackson","2025-11-16 20:24:19",1.00000,3,alysonjackson
126,14761118,"David Deibel","2025-11-16 20:26:48",1.00000,3,daviddeibel
127,14761174,"Hannah Musser","2025-11-16 20:44:34",1.00000,3,hannahmusser
128,14761180,"Jovana Draganic","2025-11-16 20:46:44",1.00000,3,jovanadraganic
129,14761547,"Kaitlyn Harbour","2025-11-16 22:33:26",1.00000,3,kaitlynharbour
130,14761713,"Nick Coblentz","2025-11-16 23:35:33",1.00000,3,nickcoblentz
131,14761735,"MacGregor Cole","2025-11-16 23:42:15",1.00000,3,macgregorcole
132,14761825,"Alex Fellinger","2025-11-17 00:13:00",1.00000,3,alexfellinger
133,14761842,"Camille Leporis","2025-11-17 00:24:15",1.00000,3,camilleleporis
134,14762106,"Jason Suppan","2025-11-17 01:32:31",1.00000,3,jasonsuppan
135,14762133,"Neil Mahoney001","2025-11-17 01:39:19",1.00000,3,neilmahoney001
136,14762183,"Elijah Humphrey","2025-11-17 01:50:15",1.00000,3,elijahhumphrey
137,14762467,Noah2004,"2025-11-17 02:38:54",1.00000,3,noah2004
138,14762565,"Nick Stankovic","2025-11-17 02:52:57",1.00000,4,nickstankovic
139,14762552,"Amanda Tubbs","2025-11-17 02:54:20",1.00000,3,amandatubbs
140,14762489,"Luz Leyva","2025-11-17 03:35:52",1.00000,3,luzleyva
141,14762967,"Tiffany Whittaker","2025-11-17 03:52:11",1.00000,3,tiffanywhittaker
142,14763014,"Anya K VanKirk","2025-11-17 04:03:03",1.00000,3,anyakvankirk
143,14763030,"Jessica McCausland","2025-11-17 04:04:42",1.00000,3,jessicamccausland
144,14763343,"Luke Gareri","2025-11-17 04:57:49",1.00000,3,lukegareri
145,14763252,"Adonis'kaggle id","2025-11-17 05:00:58",1.00000,2,adoniskaggleid
146,14768098,"Carter Hane","2025-11-17 15:06:28",1.00000,3,carterhane
147,14786094,"Kameron Rudd","2025-11-19 00:12:52",1.00000,3,kameronrudd
148,14691021,"SHO KANEKO","2025-11-19 09:36:08",1.00000,48,shokaneko
149,14756249,"ARDEN GLENDA","2025-11-19 15:16:27",1.00000,7,ardenglenda
150,14794680,"Jindong Wei","2025-11-20 03:20:09",1.00000,3,sonnyjack
151,14697749,"GOPISETTI SANDIVYA SRESHTA","2025-11-20 10:05:31",1.00000,3,gssreshta
152,14800449,SMahjabeen,"2025-11-20 18:26:10",1.00000,3,smahjabeen
153,14706064,FadeLight5844,"2025-11-25 07:40:46",1.00000,27,"fadelight5844,pancreasknight5701,xmdemamo,yangtiu5713"
154,14730059,Cinddddddyyyyyy,"2025-11-21 18:28:44",1.00000,18,cinddddddyyyyyy
155,14811502,"QIMEI LAI","2025-11-22 01:42:57",1.00000,3,qimeilai
156,14811539,"Sabiha Sharmin Shammi","2025-11-22 02:04:38",1.00000,3,sabihasharminshammi
157,14811754,levin,"2025-11-22 03:23:06",1.00000,3,flylevin
158,13083119,"bob Tony619","2025-11-22 15:00:24",1.00000,8,bobtony619
159,14817835,cpkung,"2025-11-23 05:02:15",1.00000,3,cpkung
160,14822092,"Cacho #2","2025-11-23 17:38:54",1.00000,3,cachow
161,14822244,jli244,"2025-11-23 18:39:18",1.00000,5,jli244
162,6954939,"Soumya Darbha","2025-11-23 20:50:51",1.00000,3,soumyadarbha
163,14823012,"prerna kumai","2025-11-23 21:44:02",1.00000,4,prernakumai
164,14823238,"Dharmendra kumar","2025-11-23 23:03:21",1.00000,3,info2dharmendra
165,14823726,"Yuxi Jin. trine","2025-11-24 02:18:38",1.00000,3,yuxijintrine
166,14824034,"Tiago Vicente #2","2025-11-24 03:39:16",1.00000,3,tiagovicente11
167,14824697,"Chien Chen Wang","2025-11-24 05:28:29",1.00000,3,chienchenwang
168,14825030,张三啊啊啊,"2025-11-24 05:58:35",1.00000,1,afhiahf
169,14825914,Hedy464qyy,"2025-11-24 08:04:50",1.00000,1,hedy464qyy
170,14806524,"Jin Ye","2025-11-24 08:48:25",1.00000,2,jinye1106
171,13153838,EdmundEdwards,"2025-11-27 06:50:59",1.00000,9,edmundedwards
172,13196529,JIuxiao17,"2025-11-24 13:20:56",1.00000,10,jiuxiao17
173,14827678,"Hanlin Zou_222","2025-11-24 12:46:24",1.00000,3,hanlinzou222
174,14818557,"jack joking","2025-11-25 06:36:34",1.00000,16,jackjoking
175,14828258,"Yanyun Li","2025-11-24 14:14:32",1.00000,4,yanyunli
176,14829175,tatsheeeep,"2025-11-24 16:41:35",1.00000,4,tatsheeeep
177,14829284,"Ziping Hu - Trine","2025-11-24 16:59:37",1.00000,3,zipinghutrine
178,14829330,"Everton Costa #2","2025-11-24 17:13:30",1.00000,3,evertoncosta33
179,14829447,"Kezhi Gao","2025-11-24 17:30:50",1.00000,3,kezhigao
180,14829469,zhenjiang233,"2025-11-24 17:40:40",1.00000,7,zhenjiang233
181,14830183,"Rhiva Singh","2025-11-24 20:05:29",1.00000,4,rhivasingh
182,14830194,Adagio255,"2025-11-24 20:06:26",1.00000,3,adagio255
183,14830353,"Srija Reddy Yelala","2025-11-24 20:53:47",1.00000,3,srijareddyyelala
184,14830381,YingjieCChen,"2025-11-24 21:01:33",1.00000,3,yingjiecchen
185,14830397,"Claire Wu #3","2025-11-24 21:06:49",1.00000,3,clairewu94
186,14830686,"Zhidong Chen","2025-11-24 22:53:01",1.00000,3,zhidongchen
187,14830712,"Punya Satish Gouda","2025-11-24 23:05:26",1.00000,3,punyagouda
188,14830875,"Jingli Liang","2025-11-25 00:13:55",1.00000,3,jingliliang
189,14830901,yanziwei_nju,"2025-11-25 00:19:07",1.00000,1,yanziweinju
190,13118762,NNXzzx,"2025-11-27 18:00:19",1.00000,19,nnxzzx
191,14831327,AkhilKeerthipati95,"2025-11-25 02:28:03",1.00000,3,akhilkeerthipati95
192,14831523,AlexTrime,"2025-11-25 03:06:35",1.00000,3,alextrime
193,14831378,前田英呂,"2025-11-25 03:29:32",1.00000,5,oreo1111
194,14831716,"Nuttapong Natpattanapong","2025-11-25 03:50:13",1.00000,3,nuttapongn
195,14831728,"Shiyingxue Han","2025-11-25 03:54:18",1.00000,3,shiyingxuehan
196,14831788,"Mohamed Moosa Shah","2025-11-25 04:04:52",1.00000,3,mohamedmoosashah
197,14831820,"Chisom Ebelechukwu","2025-11-25 04:13:20",1.00000,3,chisomebelechukwu
198,14832085,"Guilherme Faccinetto","2025-11-25 05:16:06",1.00000,3,guilhermefaccinetto
199,14832241,"Luwei Chen","2025-11-25 05:48:30",1.00000,3,luweicelebrini71
200,12848245,lajirrr,"2025-11-25 11:52:36",1.00000,5,lajirrr
201,13132111,"Peter Jackson","2025-11-25 08:18:10",1.00000,5,pjoker520
202,14834714,"Keerthana Shanmukhi Kappala","2025-11-25 13:09:02",1.00000,3,shanmukhikappala
203,14835118,"Tharun Bogi","2025-11-25 14:14:20",1.00000,4,tharunbogi01
204,14835689,"Vidic Liu","2025-11-25 15:43:15",1.00000,3,vidicliu
205,14835931,"Kunal Arora1797","2025-11-25 16:18:31",1.00000,3,kunalarora1797
206,14829499,"Sai Nikitha Dyavarashetty","2025-11-25 16:30:41",1.00000,11,trine12021999
207,14836023,"Kuan-Chun Wang","2025-11-25 16:31:13",1.00000,3,kuanchunwang
208,14836390,AbhishekMane,"2025-11-25 17:26:31",1.00000,3,abhi3ichigo
209,14836789,Subash2052,"2025-11-25 18:12:04",1.00000,3,subash2052
210,14837033,"Muinat Anike ","2025-11-25 18:40:15",1.00000,3,muinatanike
211,14431581,"Eva Margaret Gathoni","2025-11-25 19:13:09",1.00000,3,evamargaretgathoni
212,14837592,"Durant Du","2025-11-25 20:37:40",1.00000,3,durantdu
213,14837602,"Aston Wright","2025-11-25 20:41:16",1.00000,3,astonwright
214,14837696,XinZeng251,"2025-11-25 21:17:44",1.00000,3,xinzeng251
215,14837858,"You Kim Chhay","2025-11-25 22:12:34",1.00000,3,youkimchhay
216,14837866,"Erde Ba","2025-11-25 22:19:21",1.00000,4,erdeba
217,14838088,"Wenlan Tan","2025-11-25 23:43:24",1.00000,3,wenlantan
218,14838109,"Jianhua Yao","2025-11-25 23:52:41",1.00000,3,yaoboxi168
219,14838203,"George Hua10","2025-11-26 00:15:40",1.00000,3,georgehua10
220,14838325,"Kalyani Borase","2025-11-26 00:42:22",1.00000,4,kalyaniborase1
221,14838450,"Kaustubh Khamgaonkar","2025-11-26 01:10:21",1.00000,3,kaustubhkhamgaonkar
222,14838535,kliang24,"2025-11-26 01:27:39",1.00000,3,kliang24
223,14838546,"I-Ju Chen","2025-11-26 01:32:41",1.00000,3,ijunicole
224,14838660,"Saurav Bhusal","2025-11-26 01:52:05",1.00000,3,sauravbhusal
225,14838663,"Xinyao Zhao","2025-11-26 01:51:46",1.00000,3,xinyaozhao0526
226,14838855,"Bao Tran #2","2025-11-26 02:35:49",1.00000,3,baottran
227,14839028,"Duc Anh Doan","2025-11-26 03:21:25",1.00000,3,ducanh146
228,14839037,"Rebecca Quinn","2025-11-26 03:23:43",1.00000,3,rebeccaquinnnn
229,14839050,"Preranna Suresh","2025-11-26 03:26:25",1.00000,3,prerannasuresh
230,14839110,"Yuxing #2","2025-11-26 03:37:38",1.00000,3,star319
231,14839176,"Haswanth Krishna Deshaboyana","2025-11-26 03:52:09",1.00000,3,haswanthdeshaboyana
232,14839224,"Joy Mayunga","2025-11-26 04:08:09",1.00000,4,joymayunga
233,14839357,KaggleTrine2025,"2025-11-26 04:41:24",1.00000,4,kaggletrine2025
234,14839490,"Jannatul Nayeem","2025-11-26 05:06:11",1.00000,3,jannatul95
235,14839723,"Zhuoyu Tan","2025-11-26 05:28:05",1.00000,3,zhuoyutan25
236,14839769,"Zhuo Chen","2025-11-26 05:30:23",1.00000,3,zhuochen11233
237,14839959,mengyangTrine,"2025-11-26 05:54:48",1.00000,3,mengyangtrine
238,14840040,"Eniola Adeniji","2025-11-26 06:09:27",1.00000,3,eniolaadeniji
239,14840290,HaooooSloooooth,"2025-11-26 06:40:33",1.00000,3,haoooosloooooth
240,14840590,"Caroline Huang #2","2025-11-26 07:15:26",1.00000,3,huangbolin0920
241,14840725,"Yuhui Chen Kaggle","2025-11-26 07:34:42",1.00000,4,yuhuichenkaggle
242,14840942,"Md Shokran","2025-11-26 07:58:47",1.00000,3,mdshokran
243,14842123,"Samakshi Arora","2025-11-26 11:17:06",1.00000,3,samakshiarora
244,14842309,oli1218,"2025-11-26 11:51:37",1.00000,3,oli1218
245,14843347,"MD FAKHRUL HASAN BHUIYAN","2025-11-26 14:33:53",1.00000,3,mbhuiyan241
246,14843350,VejellaVaishnavi,"2025-11-26 14:34:33",1.00000,3,vejellavaishnavi
247,14843444,"Abdul rahman syed","2025-11-26 14:47:43",1.00000,3,abdulrahmansyed2025
248,14843460,"Harshitha Gopathi","2025-11-26 14:49:50",1.00000,3,harshithagopathi
249,14843472,"Tanmayi pappu","2025-11-26 14:51:21",1.00000,3,tanmayipappu
250,14843805,"Aniket Lele","2025-11-26 15:37:50",1.00000,3,aniketlele1997
251,14843836,"Arushi Mehta","2025-11-26 15:42:01",1.00000,3,arushimehta1320
252,14843978,"Pie Prapawuttikul","2025-11-26 16:06:16",1.00000,3,pieprapawuttikul
253,14844268,Mihirpatil733333,"2025-11-26 17:00:50",1.00000,4,mihirpatil733333
254,14844328,jac0777,"2025-11-26 17:11:50",1.00000,1,jac0777
255,14844589,"Jiao Kerwin","2025-11-26 18:02:22",1.00000,3,jiaokerwin
256,14845028,"Chuan Chen","2025-11-26 19:45:41",1.00000,3,chuanchenunique
257,14845079,"Geer Qi, Chelsea","2025-11-26 20:01:51",1.00000,3,geerqichelsea
258,14845226,"Gabriela Castro","2025-11-26 20:49:17",1.00000,3,deadlypanda
259,14845279,"Guanghong Leo Li ","2025-11-26 21:11:22",1.00000,3,guanghongleoli
260,14845309,"Ioana Camui","2025-11-26 21:23:18",1.00000,3,ioanacamui
261,14845319,SanikaJag,"2025-11-26 21:28:23",1.00000,3,sanikajag
262,14845382,"Chandhana Angari","2025-11-26 21:51:03",1.00000,3,angch94
263,14845396,"Chao Shi","2025-11-26 22:00:02",1.00000,3,chaoshi91
264,14845552,"Veronica Jiang","2025-11-26 23:11:24",1.00000,3,veronica06
265,14845579,"Luis Lepervanche","2025-11-26 23:27:16",1.00000,3,luislepervanche
266,14845597,"Karthikeyan Balaji #2","2025-11-26 23:36:14",1.00000,3,karthikeyanbalaji24
267,14845642,"Xiaoyu Li #3","2025-11-26 23:53:22",1.00000,3,xiaoyuli22
268,14845665,KaizhongZhang2000,"2025-11-27 00:03:59",1.00000,3,kaizhongzhang2000
269,14845668,"Dahmoul Adam","2025-11-27 00:04:24",1.00000,3,dahmouladam
270,14845738,"Clara Gil Gonzalez","2025-11-27 00:34:29",1.00000,3,claragilgonzalez
271,14845788,"Tianyue Zhang #2","2025-11-27 00:57:11",1.00000,3,tianyuezhang1997
272,14845790,"Kunal S #2","2025-11-27 00:58:15",1.00000,3,kunal0369
273,14845795,theTestBot,"2025-11-27 00:58:47",1.00000,3,thetestbot
274,14845803,mkhatiwa90,"2025-11-27 01:00:28",1.00000,3,mkhatiwa90
275,14845812,"Runzhe Cheng","2025-11-27 01:02:14",1.00000,3,runzhecheng
276,14846005,"Shilong Zhang","2025-11-27 01:59:17",1.00000,3,shilongzhang6
277,14846018,"Lingyu Ge","2025-11-27 02:03:51",1.00000,3,lingyuge
278,14846029,"Kailun Chen","2025-11-27 02:07:17",1.00000,3,kailunchen1129
279,14846031,haeunleeGrace,"2025-11-27 02:07:37",1.00000,3,haeunleegrace
280,14846071,binod919,"2025-11-27 02:18:24",1.00000,3,binod919
281,14846092,"Srinadh Devarasetty","2025-11-27 02:24:18",1.00000,3,srinadhdevarasetty24
282,13183863,"Ezekiel Ou","2025-11-27 02:31:42",1.00000,15,ezekielou
283,6709998,"Vikas deep Shukla","2025-11-27 02:31:57",1.00000,6,vikasdeepshukla
284,14846116,"Y Z Trine","2025-11-27 02:32:30",1.00000,3,yztrine
285,14846109,"Shien Wang","2025-11-27 02:33:23",1.00000,3,shienwang
286,14846171,"Udgeet Batra","2025-11-27 02:47:09",1.00000,3,udgeetbatra
287,14846198,"Sanjana Nellutla","2025-11-27 02:54:40",1.00000,3,sanjana3n
288,14846228,jerryji18,"2025-11-27 03:03:18",1.00000,3,jerryji18
289,14846240,"Jinhan Joy Lee","2025-11-27 03:06:23",1.00000,3,jinhanjoylee
290,14846348,"Kaninika Gupta","2025-11-27 03:26:24",1.00000,3,kaninikagupta
291,14846374,"S R V Gopularam","2025-11-27 03:35:09",1.00000,3,srvgopularam
292,14846419,subasuman,"2025-11-27 03:48:43",1.00000,3,subasuman
293,5731352,HemlataSharma12,"2025-11-27 03:58:04",1.00000,3,hemlatasharma12
294,5748923,parkerhale,"2025-11-27 04:07:36",1.00000,3,parkerhale
295,14846508,"Pei Chia Chiu","2025-11-27 04:12:28",1.00000,4,peichiachiu
296,14846545,"Sujana Samia","2025-11-27 04:24:10",1.00000,3,sujanasamia
297,14846566,"Leo Shu","2025-11-27 04:28:59",1.00000,3,leoshu123
298,14846547,"jeewan magar","2025-11-27 04:30:15",1.00000,4,jeewanmagar
299,14846570,vidya8978,"2025-11-27 04:30:20",1.00000,3,vidya8978
300,14846585,"Nishit De","2025-11-27 04:32:05",1.00000,3,nishitde
301,14846624,"Anika Tabassum #2","2025-11-27 04:41:52",1.00000,3,anikatabassum25
302,14846643,"Kwonhee Bae","2025-11-27 04:48:06",1.00000,3,kwonheebae
303,14846647,"Joel Binu George","2025-11-27 04:49:23",1.00000,3,leonun
304,14846663,"sushanth reddy","2025-11-27 04:53:26",1.00000,3,sushanthreddy21
305,14846669,"Thùy Dương Nguyễn","2025-11-27 04:54:27",1.00000,3,thydngnguyn
306,14846676,"Alexx Cheng","2025-11-27 04:56:04",1.00000,3,alexxcheng
307,14846657,"Yasser Elsherbini #3","2025-11-27 04:59:22",1.00000,5,yasserelsherbini00
308,14846372,rachelyyun,"2025-11-27 05:00:18",1.00000,8,rachelyyun
309,14846698,"Yasser Elsherbini #4","2025-11-27 05:02:21",1.00000,3,yasserelsherbini0101
310,14846816,"Zameeruddin Mohammed","2025-11-27 05:30:20",1.00000,3,zameeruddinmohammed
311,14848888,pinpin1017,"2025-11-27 17:47:12",1.00000,10,pinpin1017
312,14820021,Seraphim_ouo,"2025-11-27 14:47:37",1.00000,34,seraphimouo
313,14851964,"Zhenyu Xing 1999","2025-11-27 21:06:36",1.00000,3,zhenyuxing1999
314,14645540,"testb testa","2025-11-09 07:44:52",0.99760,41,testbtesta
315,14655329,"[Deleted] 782b3994-9b87-4b2c-8241-068f553dcfa4","2025-11-09 00:48:20",0.99760,37,del=9651fb31ef0f4018
